Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2023-03-03,523.34,2.4,0.35,7.56,8.87,3.84,0.54,4.6,1.2657656459602151,10813.122,0.52,0.11,1.27,1.14,0.0034999999999999996,0.006041828692875654,0.0063936474496535,0.006862751982999443,0.004771268175233918
2023-03-10,521.08,2.83,0.43,8.15,8.93,4.68,3.59,4.09,-2.05396739258098,10591.024,0.35,0.52,0.11,1.27,0.0043,0.005926916118649878,0.006041828692875654,0.0063936474496535,0.004020572098594925
2023-03-17,518.39,3.33,0.52,8.51,10.27,5.02,6.64,3.7,-0.7587934839917265,10510.66,0.43,0.35,0.52,0.11,0.0052,0.005859170885359952,0.005926916118649878,0.006041828692875654,0.001664331697709324
2023-03-24,517.21,3.55,0.23,8.72,9.97,5.15,6.2,3.71,-0.8692508367695195,10419.296,0.52,0.43,0.35,0.52,0.0023,0.005821010014068877,0.005859170885359952,0.005926916118649878,0.000608276253029822
2023-04-07,517.84,3.43,0.05,6.31,10.37,5.49,7.57,3.58,-0.12634401523224925,10467.666000000001,0.23,0.52,0.43,0.35,0.0005,0.0058900749935237185,0.005821010014068877,0.005859170885359952,0.0013000000000000002
2023-04-14,517.48,3.5,0.07,5.56,10.53,5.88,8.0,3.36,0.1325988047383042,10481.545999999998,0.05,0.23,0.52,0.43,0.0007000000000000001,0.006039471021612098,0.0058900749935237185,0.005821010014068877,0.0012041594578792295
2023-04-21,518.38,3.33,0.17,4.13,10.87,5.86,8.41,3.4,-0.017211201477318472,10479.742,0.07,0.05,0.23,0.52,0.0017000000000000001,0.006082271206381859,0.006039471021612098,0.0058900749935237185,0.0025465663156493687
2023-04-28,518.34,3.34,0.01,3.8,10.54,6.4,7.03,3.26,0.0718815405951645,10487.275,0.17,0.07,0.05,0.23,0.0001,0.006029192388148093,0.006082271206381859,0.006039471021612098,0.007515317691222374
2023-05-05,516.48,3.68,0.36,3.77,10.63,7.31,6.23,2.85,-0.7346283948880816,10410.2325,0.01,0.17,0.07,0.05,0.0036,0.006127857379185932,0.006029192388148093,0.006082271206381859,0.007813129974600447
2023-05-12,521.64,2.72,1.0,1.72,8.79,6.93,7.54,4.48,1.1024489606740184,10525.0,0.36,0.01,0.17,0.07,0.01,0.005958948967952457,0.006127857379185932,0.006029192388148093,0.006439332263519254
2023-05-19,524.11,2.26,0.47,2.37,8.35,6.43,6.74,5.31,2.303847980997631,10767.48,1.0,0.36,0.01,0.17,0.004699999999999999,0.0060347330181430734,0.005958948967952457,0.006127857379185932,0.007224956747275377
2023-05-26,528.18,1.5,0.78,2.15,7.08,5.89,6.88,5.92,0.6846913112446229,10841.204000000002,0.47,1.0,0.36,0.01,0.0078000000000000005,0.00589657499735194,0.0060347330181430734,0.005958948967952457,0.005249761899362675
